Session ID,Date Time,Input Query,Output Query,Expected Query,Success
4,24/07/2020 08:00 PM,hey!!!!!,Good Evening,Need to be written by human,Later Calculating...
4,24/07/2020 08:00 PM,cost of baleno?,THE cost of baleno 150000 rs,Need to be written by human,Later Calculating...
4,24/07/2020 08:00 PM,price of Maruti ????,THE price of maruti 100000 rs,Need to be written by human,Later Calculating...
4,24/07/2020 08:01 PM,okay!! thanks,You are welcome,Need to be written by human,Later Calculating...
5,24/07/2020 08:01 PM,Bye bye :),bye,Need to be written by human,Later Calculating...
5,24/07/2020 08:01 PM,morning,I am unable to understand. Please try again,Need to be written by human,Later Calculating...
5,24/07/2020 08:01 PM,hello,Good Evening,Need to be written by human,Later Calculating...
5,24/07/2020 08:01 PM,cost of alto?,I am unable to understand. Please try again,Need to be written by human,Later Calculating...
5,24/07/2020 08:02 PM,what do you understand?,I am unable to understand. Please try again,Need to be written by human,Later Calculating...
5,24/07/2020 08:02 PM,the cost of baleno,the the cost of baleno 150000 rs,Need to be written by human,Later Calculating...
5,24/07/2020 08:03 PM,do you take rest ?,I am unable to understand. Please try again,Need to be written by human,Later Calculating...
6,24/07/2020 08:03 PM,bye,bye,Need to be written by human,Later Calculating...
7,24/07/2020 08:04 PM,tata,bye,Need to be written by human,Later Calculating...
7,24/07/2020 08:04 PM,greetings,Good Evening,Need to be written by human,Later Calculating...
7,24/07/2020 08:04 PM,thanks!!!!,You are welcome,Need to be written by human,Later Calculating...
8,24/07/2020 08:04 PM,tata ... Have a good day,bye,Need to be written by human,Later Calculating...
